loop_id,node_count,edge_count,total_transaction_amount,avg_transaction_amount,max_transaction_amount,min_transaction_amount,transaction_count,earliest_transaction_date,latest_transaction_date,time_span_days,has_bidirectional_edges,partner_count,shareholder_count,member_company_count,cross_holding_count,max_edge_count_between_nodes
38,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
39,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
40,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
41,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
42,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
43,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
44,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
45,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
46,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
47,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
48,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
49,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
50,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
51,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
52,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
53,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
54,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
55,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
56,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
57,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
58,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
59,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
60,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
61,5,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
62,4,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
63,4,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
64,7,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
65,6,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
66,5,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
67,5,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,1,0,1
68,5,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
69,5,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
70,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
71,8,0,0.0,0.0,0.0,0.0,0,,,0,False,0,0,0,0,1
